City,State,Year,Filename,Training Accuracy,Training Confusion Matrix,Validation Accuracy,Validation Confusion Matrix
Pune,Maharashtra,2024,Maharashtra_Pune_C,0.9998594617,"[[5, 4, 0], [0, 27322, 0], [0, 0, 1131]]",0.9998569589,"[[1, 1, 0], [0, 6712, 0], [0, 0, 277]]"
Pune,Maharashtra,2019,Maharashtra_Pune_N,0.9980013324,"[[63, 7, 0], [53, 29406, 0], [0, 0, 491]]",0.997875166,"[[16, 1, 0], [15, 7362, 0], [0, 0, 136]]"
Pune,Maharashtra,2024,Maharashtra_Pune_N,0.9976507727,"[[0, 64, 0], [0, 25625, 0], [0, 0, 1554]]",0.9968037193,"[[0, 22, 0], [0, 6483, 0], [0, 0, 378]]"
Pune,Maharashtra,2019,Maharashtra_Pune_NE,0.9999723045,"[[103, 0, 0], [1, 35975, 0], [0, 0, 28]]",1,"[[22, 0, 0], [0, 9051, 0], [0, 0, 8]]"
Pune,Maharashtra,2024,Maharashtra_Pune_NE,0.9995797563,"[[107, 0, 0], [14, 32898, 0], [0, 0, 295]]",0.9997575464,"[[25, 0, 0], [2, 8148, 0], [0, 0, 74]]"
Pune,Maharashtra,2019,Maharashtra_Pune_E,1,"[[0, 0, 0], [0, 30304, 0], [0, 0, 140]]",0.9998663995,"[[0, 1, 0], [0, 7455, 0], [0, 0, 29]]"
Pune,Maharashtra,2024,Maharashtra_Pune_E,0.9999640559,"[[0, 1, 0], [0, 26771, 0], [0, 0, 1049]]",1,"[[0, 0, 0], [0, 6665, 0], [0, 0, 267]]"
Pune,Maharashtra,2019,Maharashtra_Pune_SE,1,"[[0, 0, 0], [0, 35540, 0], [0, 0, 59]]",1,"[[0, 0, 0], [0, 8957, 0], [0, 0, 13]]"
Pune,Maharashtra,2024,Maharashtra_Pune_SE,1,"[[0, 0, 0], [0, 32373, 0], [0, 0, 366]]",1,"[[0, 0, 0], [0, 8038, 0], [0, 0, 92]]"
Pune,Maharashtra,2019,Maharashtra_Pune_S,0.9999424858,"[[0, 2, 0], [0, 34729, 0], [0, 0, 43]]",1,"[[0, 0, 0], [0, 8754, 0], [0, 0, 9]]"
Pune,Maharashtra,2024,Maharashtra_Pune_S,0.9999685307,"[[0, 1, 0], [0, 31266, 0], [0, 0, 510]]",1,"[[0, 0, 0], [0, 7831, 0], [0, 0, 130]]"
Pune,Maharashtra,2019,Maharashtra_Pune_SW,0.9999718119,"[[0, 1, 0], [0, 35438, 0], [0, 0, 37]]",0.9998865956,"[[0, 1, 0], [0, 8799, 0], [0, 0, 18]]"
Pune,Maharashtra,2024,Maharashtra_Pune_SW,1,"[[6, 0, 0], [0, 31707, 0], [0, 0, 566]]",1,"[[2, 0, 0], [0, 7964, 0], [0, 0, 141]]"
Pune,Maharashtra,2019,Maharashtra_Pune_W,0.9918079908,"[[194, 142, 0], [143, 34167, 0], [0, 0, 144]]",0.9932004149,"[[43, 36, 0], [23, 8524, 0], [0, 0, 51]]"
Pune,Maharashtra,2024,Maharashtra_Pune_W,1,"[[0, 0, 0], [0, 30759, 0], [0, 0, 1145]]",1,"[[0, 0, 0], [0, 7543, 0], [0, 0, 279]]"
Pune,Maharashtra,2019,Maharashtra_Pune_NW,1,"[[0, 0, 0], [0, 34964, 0], [0, 0, 231]]",1,"[[0, 0, 0], [0, 8640, 0], [0, 0, 35]]"
Pune,Maharashtra,2024,Maharashtra_Pune_NW,1,"[[0, 0, 0], [0, 31562, 0], [0, 0, 510]]",1,"[[0, 0, 0], [0, 8094, 0], [0, 0, 112]]"
Solapur,Maharashtra,2019,Maharashtra_Solapur_C,0.999839889,"[[40, 5, 0], [1, 37332, 0], [0, 0, 96]]",0.9997866894,"[[12, 2, 0], [0, 9345, 0], [0, 0, 17]]"
Solapur,Maharashtra,2024,Maharashtra_Solapur_C,1,"[[0, 0, 0], [0, 33251, 0], [0, 0, 980]]",1,"[[0, 0, 0], [0, 8322, 0], [0, 0, 250]]"
Solapur,Maharashtra,2019,Maharashtra_Solapur_N,1,"[[6, 0, 0], [0, 32105, 0], [0, 0, 227]]",1,"[[0, 0, 0], [0, 7941, 0], [0, 0, 59]]"
Solapur,Maharashtra,2024,Maharashtra_Solapur_N,1,"[[2754, 0, 0], [0, 23708, 0], [0, 0, 1230]]",1,"[[686, 0, 0], [0, 5953, 0], [0, 0, 317]]"
Solapur,Maharashtra,2019,Maharashtra_Solapur_NE,0.999922312,"[[0, 0, 0], [0, 38613, 0], [0, 3, 0]]",0.9995757319,"[[0, 0, 0], [0, 9424, 0], [0, 4, 0]]"
Solapur,Maharashtra,2024,Maharashtra_Solapur_NE,1,"[[9, 0, 0], [0, 30230, 0], [0, 0, 216]]",1,"[[1, 0, 0], [0, 7495, 0], [0, 0, 41]]"
Solapur,Maharashtra,2019,Maharashtra_Solapur_E,1,"[[0, 0, 0], [0, 38239, 0], [0, 0, 27]]",1,"[[0, 0, 0], [0, 9645, 0], [0, 0, 4]]"
Solapur,Maharashtra,2024,Maharashtra_Solapur_E,1,"[[0, 0, 0], [0, 34620, 0], [0, 0, 235]]",1,"[[0, 0, 0], [0, 8690, 0], [0, 0, 67]]"
Solapur,Maharashtra,2019,Maharashtra_Solapur_SE,0.999973605,"[[0, 0, 0], [0, 37885, 0], [0, 1, 0]]",1,"[[0, 0], [0, 9600]]"
Solapur,Maharashtra,2024,Maharashtra_Solapur_SE,1,"[[1858, 0, 0], [0, 30551, 0], [0, 0, 153]]",1,"[[428, 0, 0], [0, 7700, 0], [0, 0, 26]]"
Solapur,Maharashtra,2019,Maharashtra_Solapur_S,0.9998164127,"[[0, 0, 0], [0, 38122, 0], [0, 7, 0]]",0.999790795,"[[0, 0, 0], [0, 9558, 0], [0, 2, 0]]"
Solapur,Maharashtra,2024,Maharashtra_Solapur_S,1,"[[0, 0, 0], [0, 33299, 0], [0, 0, 652]]",1,"[[0, 0, 0], [0, 8119, 0], [0, 0, 165]]"
Solapur,Maharashtra,2019,Maharashtra_Solapur_SW,1,"[[0, 0, 0], [0, 38001, 0], [0, 0, 31]]",1,"[[0, 0, 0], [0, 9611, 0], [0, 0, 3]]"
Solapur,Maharashtra,2024,Maharashtra_Solapur_SW,1,"[[0, 0, 0], [0, 32101, 0], [0, 0, 316]]",1,"[[0, 0, 0], [0, 8124, 0], [0, 0, 76]]"
Solapur,Maharashtra,2019,Maharashtra_Solapur_W,1,"[[0, 0, 0], [0, 28549, 0], [0, 0, 331]]",1,"[[0, 0, 0], [0, 7117, 0], [0, 0, 73]]"
Solapur,Maharashtra,2024,Maharashtra_Solapur_W,1,"[[0, 0, 0], [0, 23731, 0], [0, 0, 1779]]",1,"[[0, 0, 0], [0, 5826, 0], [0, 0, 416]]"
Solapur,Maharashtra,2019,Maharashtra_Solapur_NW,0.9998660272,"[[0, 0, 0], [0, 37316, 0], [0, 5, 0]]",1,"[[0, 0], [0, 9226]]"
Solapur,Maharashtra,2024,Maharashtra_Solapur_NW,1,"[[3, 0, 0], [0, 31882, 0], [0, 0, 444]]",1,"[[2, 0, 0], [0, 8125, 0], [0, 0, 120]]"
Thane,Maharashtra,2019,Maharashtra_Thane_C,1,"[[33, 0, 0], [0, 32046, 0], [0, 0, 13]]",1,"[[7, 0, 0], [0, 7954, 0], [0, 0, 8]]"
Thane,Maharashtra,2024,Maharashtra_Thane_C,0.9997387475,"[[186, 0, 0], [7, 26306, 0], [0, 0, 295]]",0.9997063142,"[[55, 0, 0], [2, 6659, 0], [0, 0, 94]]"
Thane,Maharashtra,2019,Maharashtra_Thane_N,1,"[[3463, 0, 0], [0, 29113, 0], [0, 0, 93]]",1,"[[829, 0, 0], [0, 7247, 0], [0, 0, 24]]"
Thane,Maharashtra,2024,Maharashtra_Thane_N,0.9999645428,"[[3746, 0, 0], [1, 23717, 0], [0, 0, 739]]",1,"[[950, 0, 0], [0, 5984, 0], [0, 0, 192]]"
Thane,Maharashtra,2019,Maharashtra_Thane_NE,1,"[[255, 0, 0], [0, 36572, 0], [0, 0, 19]]",1,"[[59, 0, 0], [0, 9052, 0], [0, 0, 5]]"
Thane,Maharashtra,2024,Maharashtra_Thane_NE,1,"[[431, 0, 0], [0, 35097, 0], [0, 0, 253]]",1,"[[102, 0, 0], [0, 8723, 0], [0, 0, 54]]"
Thane,Maharashtra,2019,Maharashtra_Thane_E,0.9999701591,"[[4651, 0, 0], [1, 28703, 0], [0, 0, 156]]",0.9998814042,"[[1201, 0, 0], [1, 7201, 0], [0, 0, 29]]"
Thane,Maharashtra,2024,Maharashtra_Thane_E,0.9999674596,"[[4896, 0, 0], [1, 25163, 0], [0, 0, 671]]",1,"[[1235, 0, 0], [0, 6372, 0], [0, 0, 191]]"
Thane,Maharashtra,2019,Maharashtra_Thane_SE,0.9999708353,"[[0, 1, 0], [0, 34197, 0], [0, 0, 90]]",1,"[[0, 0, 0], [0, 8666, 0], [0, 0, 22]]"
Thane,Maharashtra,2024,Maharashtra_Thane_SE,1,"[[137, 0, 0], [0, 28254, 0], [0, 0, 1173]]",1,"[[52, 0, 0], [0, 7160, 0], [0, 0, 299]]"
Thane,Maharashtra,2019,Maharashtra_Thane_S,0.9997602165,"[[914, 0, 0], [7, 28260, 0], [0, 0, 12]]",0.99972874,"[[238, 0, 0], [2, 7129, 0], [0, 0, 4]]"
Thane,Maharashtra,2024,Maharashtra_Thane_S,0.9997336884,"[[1488, 0, 0], [7, 24661, 0], [0, 0, 129]]",0.9995410739,"[[378, 0, 0], [3, 6129, 0], [0, 0, 27]]"
